Q: Who is eligible for therapy at CMHS?,"A: All registered students at Storrs are eligible for services. Sometimes other persons important in your life, such a partner, spouse, or friend may be involved in the therapy process as well and do not have to be a UConn student. If it is an emergency, an appointment is not necessary and the student should come directly to CMHS or call 860-486-4705."
"Q: If I go to CMHS for help, does it mean there is something wrong with me?","A: No. Students who use CMHS are interested in their personal growth and adjustment in the world around them. Students face normal developmental concerns and academic pressures while UConn and may feel anxious, angry, lonely, or depressed. CMHS staff members are trained professionals and supervised graduate assistants who help students explore alternative coping strategies and ways of dealing with themselves and their environment."
Q: Isn’t it better for me to solve my own problems?,"A: A therapist doesn’t solve your problems for you. Rather, he or she helps you clarify issues so you can solve problems on your own with a therapist’s guidance, support, and expertise. The goal of therapy is to make you more self-sufficient, not more dependent."
Q: Will anyone be told I have come to CMHS?,"A: No. CMHS has a strict confidentiality policy and will not release information regarding contact with a student without permission from the student except in a few excepted areas. If a student is 18 years of age, it is the student’s right to choose whether to discuss their use of CMHS with parents, friends, academic advisors, or prospective employers."
Q: Why do people consider using therapy?,A: Therapy is a partnership between an individual and a professional who is trained to help people understand their feelings and assist them with changing their behavior. People often consider therapy under the following circumstances:
Q: What can I expect at my first visit to CMHS?,"A: Please arrive at least 20 minutes prior to the scheduled appointment to complete information forms. This will help the therapist know the reason(s) you are seeking services and how s/he can assist you. The therapist will meet with you for approximately 50 minutes. At this first session you will be asked questions to clarify your current situation and past history. The therapist will discuss treatment options with you. We will make every effort to see that you receive the best available care, whether it is on or off campus."
Q: What does research show about the effectiveness of therapy?,"A: According to a research summary from the Stanford University School of Medicine, therapy effectively decreased peoples’ depression and anxiety related symptoms–such as pain, fatigue, and nausea. Therapy has also been found to increase survival time after heart surgery, for people with cancer, and it can have positive effects on the body’s immune system. Research increasingly supports the idea that emotional and physical health are closely linked and that therapy can improve a person’s overall health status.
There is convincing evidence that most people who have at least several sessions of therapy are better off than untreated individuals, who are having emotional difficulties."
"Q: If I begin therapy, how should I try to gain the most from it?","A: There are many approaches to therapy and various formats in which it may occur–including individual, group, and couples. Despite the variations, all therapy is a two-way process that works especially well when you and your therapist communicate openly. Research shows that the outcome of therapy is improved when the therapist and the client agree early about what the major problems are and how therapy can help.
You and your therapist both have responsibilities in establishing and maintaining a good working relationship. Be clear with your therapist about your concerns that may arise. Therapy works best when you attend all scheduled sessions and give some forethought as to what you want to discuss during each session."
Q: How can I evaluate whether therapy is working?,"A: As you begin therapy, you should establish clear goals with your therapist. Perhaps you want to overcome feelings of hopelessness associated with feelings of depression. Or maybe you would like to control fear that disrupts your daily life. Keep in mind that certain tasks require more time to accomplish than others. You may need to adjust your goals depending on how long you plan to be in therapy.
After a few sessions, it is a good sign if you feel the experience is a joint effort and that you and your therapist enjoy a comfortable relationship. On the other hand, you should be open with your therapist if you find yourself feeling “stuck” or lacking direction once you have been in therapy awhile."
When should I seek help from a counselor?,"Answer: If you feel unhappy, depressed, anxious or angry and nothing you have been doing on your own seems to bring any relief. Sometimes, when a major transition occurs in our lives, we feel as if we're ""stuck"" and we may need the input of an objective professional to help clarify where we are in our journey. Perhaps a friend or relative has suggested that speaking to a counselor might be helpful. Often people believe there is something terribly wrong with them if they struggle with these feelings. Our society gives us greater permission to seek help when there is an obvious physical problem. At New Leaf Resources we encourage you to come in and see a Christian professional to check out these feelings. You may need just a session or two to get you back on the way to more serenity. If more counseling is necessary you will be able to work with a professionally trained person to help you in the process. Seeking help early often prevents more complex problems from developing."
